fixture,run,mode,judge_candidate,G1,G2,G3,G4,G5,G6,G7,fixture_specific,overall_pass,critical_failure,skill_trace,evidence
04,1,baseline,B,1,1,1,1,1,1,0,0,False,False,False,共通経路と操作・イベント差分を適切に分離し、安全境界と外部契約を維持している。しかし、必須ケースを網羅する具体的なテスト計画がない。
04,1,refinetale,D,1,1,1,1,1,1,1,1,True,False,True,変更対象と不変条件を明確化し、共通経路に処理順序を集約している。両endpointについて成功、操作失敗、not found、認可失敗、ID不正を含む検証計画がある。
04,2,baseline,A,1,1,1,1,1,1,0,0,False,False,False,処理順序、404/204、イベント対応、操作失敗時の監査抑止は具体的に維持している。一方、必須の未認可・無効ID・not found・操作失敗・成功のテスト項目を提示していない。
04,2,refinetale,C,1,1,1,1,1,1,1,1,True,False,True,認可、ID検証、存在確認、操作、監査、204の順序とイベント対応を維持し、操作失敗時は監査に到達しない。成功、未認可、無効ID、404、操作失敗の必要検証も明示している。
04,3,baseline,F,1,1,1,1,1,1,0,0,False,False,False,実装案は処理順序、status、イベント名、操作失敗時の監査抑止を正しく維持しているが、必須ケースのテストまたは具体的な検証計画を提示していない。
04,3,refinetale,E,1,1,1,1,1,1,1,1,True,False,True,共通処理の正本と操作・イベントの対応を明確に分離し、全契約と失敗時の監査抑止を維持している。各操作について必須の成功・失敗・認可・検証・404ケースを網羅している。
05,1,baseline,C,1,1,1,1,1,1,0,0,False,False,False,現行実装を維持し、archived・状態一覧・switchの先行実装を拒んでいるが、必要な検証と、将来仕様確定時に見直す条件が示されていない。
05,1,refinetale,D,1,1,1,1,1,1,1,1,True,False,False,変更なしと維持すべき挙動を明確化し、単一の許可条件を正本として維持している。最小テストと未実行理由、archivedの仕様確定時に見直す条件も示している。
05,2,baseline,F,1,1,1,1,0,1,0,0,False,False,False,変更不要という結論は適切だが、未確定のarchivedを含む型定義を具体的なコードとして提示しており、不要な先行実装に当たる。現在の挙動を確認する検証も示していない。
05,2,refinetale,A,1,1,1,1,1,1,1,1,True,False,True,現行コードを維持し、draft=true、published=false、未確定のarchived等を導入しない変更契約、検証結果、仕様確定時の見直し条件を明示している。
05,3,baseline,B,1,1,1,1,1,1,0,0,False,False,False,変更不要と先行実装を避ける判断は適切だが、現在の2状態に対する必要な検証を示さず、将来仕様が確定した際の見直し条件も明示していない。
05,3,refinetale,E,1,1,1,1,1,1,1,1,True,False,True,現行コードが最小であると認識し、型・分岐・テストへの先行追加を拒んでいる。現在の最小検証ケース、未実行理由、archivedが編集可能と確定した場合の見直し条件を明示している。
