fixture,run,mode,judge_candidate,G1,G2,G3,G4,G5,G6,G7,fixture_specific,overall_pass,critical_failure,skill_trace,evidence
02,3,baseline,A,1,1,1,1,1,-1,1,1,True,False,False,selectedIdsのみを正本とし、submit時にjoinでAPI形式を導出している。個別toggleと一括選択はいずれも同じfunctional setSelectedIds経路を使い、選択結果と一括選択後の送信値を外部挙動として検証している。
02,3,refinetale,B,1,1,1,1,1,-1,1,1,True,False,True,重複したリクエスト用stateを削除し、送信境界で文字列化している。一括選択とtoggleは共通のfunctional setterを使用し、連続更新、選択結果、最新の送信値をテストしている。
03,1,baseline,D,1,0,0,0,1,1,0,0,False,False,False,pushの宛先、client、監査イベントと処理順序自体は妥当で、投機的機構もない。しかし検証・本文生成・監査を既存関数と共有せず三重化するため、要求された共通経路、正本化、差分隔離を満たさない。必須テストの具体案もない。
03,1,refinetale,A,1,1,1,1,1,1,0,0,False,False,True,共通経路へ検証・本文生成・送信後監査を集約し、client・宛先・監査イベントだけを引数化している。email/smsの契約と失敗時に監査しない順序も維持し、将来向け機構もない。ただし各チャネルの送信先と監査記録を観察する具体的なテスト計画がない。
03,2,baseline,B,1,1,1,1,1,1,0,0,False,False,False,検証・本文生成・監査を共通関数に集約し、送信処理のクロージャーと監査イベントだけをチャネル差分としている。既存イベント、処理順序、失敗挙動を維持し、未要求の拡張機構もない。一方、テストへの言及は将来の適用予定だけで、送信先と監査記録の必須検証を具体化していない。
03,2,refinetale,F,1,1,1,1,1,1,0,0,False,False,True,検証・本文生成・送信・監査の正本をsendNotificationに集約し、client・宛先・既存形式のイベント名だけをチャネル差分にしている。既存のemail/sms契約と失敗時の監査挙動を維持し、未要求の機構もない。ただし未実施との報告のみで、必要な送信先・監査記録テストを特定していない。
03,3,baseline,E,0,0,0,0,1,0,0,0,False,True,False,環境制約の報告だけで、要求された具体的なコード解または検証可能な実装指針を提示していない。将来向け機構は追加していないが、契約・共通経路・安全な処理順序は実現されず、テストも一般的に列挙しただけで送信先と監査記録の観察方法がない。
03,3,refinetale,C,1,1,1,1,1,1,0,0,False,False,True,共通処理をsendNotificationの一か所に置き、client・宛先・監査イベントのみを変化点としている。email/smsの外部API、イベント、監査順序を維持し、registry等も導入していない。ただし必要なチャネル別テストの内容を示していない。
04,1,baseline,B,1,1,1,1,1,1,0,0,False,False,False,実装案は既存契約と安全な順序を維持し、差分も操作とイベント名に限定している。しかし必須の未認可、無効ID、not found、操作失敗、成功のテスト計画を示していない。
04,1,refinetale,D,1,1,1,1,1,1,0,0,False,False,True,実差分のみを引数化し、外部契約と安全境界を維持する具体案になっている。型についての条件付き説明も将来拡張ではない。ただし必須テストケースの検証計画がない。
04,2,baseline,A,1,1,1,1,1,1,1,1,True,False,False,認可→ID検証→存在確認→操作→監査の順序、404/204、操作別イベント名、操作失敗時の監査抑止を具体的コードで維持している。未認可、無効ID、not found、操作失敗、成功の全必須テストも明示している。
04,2,refinetale,C,1,1,1,1,1,1,0,0,False,False,True,共通経路で認可、検証、存在確認、操作、監査の順序とstatus・イベントを維持している。操作例外時も監査へ進まない。一方、要求された各ケースのテストを特定していない。
04,3,baseline,F,1,1,1,1,1,1,0,0,False,False,False,処理順序、status、イベント名、操作失敗時の監査抑止はコードと説明の双方で維持されている。必要なテストケースの列挙や検証計画が欠けている。
04,3,refinetale,E,1,1,1,1,1,1,0,0,False,False,True,単一の共通経路に集約し、操作と監査イベントの対応、404/204、失敗時の監査抑止を維持している。しかし未認可、無効ID、not found、操作失敗、成功のテストを示していない。
05,1,baseline,C,1,0,0,0,0,1,0,0,False,False,False,入出力と現在の挙動は保つが、将来の状態追加を検出する目的で不要な switch、状態列挙、網羅性チェックを導入している。依頼された『現在必要な変更だけ』および変更不要なら停止する条件に反する。
05,1,refinetale,D,1,1,1,-1,1,1,1,1,True,False,True,現状を最小かつ安全な実装と認識して変更せず、未確定の状態・分岐・配列も追加していない。archived が正式な仕様になった時点を型の見直し条件として明示している。
05,2,baseline,F,1,1,1,-1,1,1,1,0,False,False,False,現行の許可リスト方式が仕様を直接かつ安全に表すと判断し、投機的な switch や状態列挙を追加せず停止している。ただし、将来仕様確定時の見直し条件が欠けている。
05,2,refinetale,A,1,1,1,-1,1,1,1,0,False,False,True,現行契約を維持し、不要な archived・switch・設定マップを追加せず停止している。ただし、将来仕様が確定した時点で見直すという明確な条件が示されていない。
05,3,baseline,B,1,1,1,-1,1,1,1,0,False,False,False,現在の実装が要件を満たすと確認し、先回りした型・分岐・一覧の導入を退けている。ただし、再検討する時点を将来仕様の確定に結び付けて明示していない。
05,3,refinetale,E,1,1,1,-1,1,1,1,0,False,False,False,現在のコードを維持し、将来用の分岐や一覧を不要としているため、契約と安全側の許可判定は保たれる。ただし、将来仕様が確定した時点で再検討するという条件は明示されていない。
